km,brand,fuel,gear,price,cv,year
35000,Skoda,Gasoline,Manual,8500,106,2013
148000,Citroen,Diesel,Automatic,8500,152,2013
44700,Opel,Gasoline,Manual,8500,70,2013
77820,Mazda,Gasoline,Manual,8550,106,2013
31000,Ford,Gasoline,Manual,8679,127,2013
46000,Volkswagen,Gasoline,Manual,8699,70,2013
50000,Ford,Gasoline,Manual,8699,102,2013
75800,Peugeot,Gasoline,Manual,8700,83,2013
122450,Suzuki,Diesel,Manual,8700,137,2013
54689,Opel,Gasoline,Manual,8740,142,2013
98000,Honda,Gasoline,Manual,8790,100,2013
55135,Honda,Gasoline,Manual,8800,100,2013
53998,Hyundai,Gasoline,Manual,8880,87,2013
76796,Peugeot,Gasoline,Manual,8885,122,2013
84000,Skoda,Diesel,Manual,8888,112,2013
48795,Skoda,Gasoline,Automatic,8899,106,2013
85320,Opel,Gasoline,Manual,8900,142,2013
118070,Toyota,Hybrid,Automatic,8900,76,2013
59100,Kia,Gasoline,Manual,8900,91,2013
85183,Opel,Gasoline,Manual,8898,142,2014
53795,Volkswagen,Gasoline,Manual,8900,61,2014
74450,Citroen,Gasoline,Manual,8900,158,2014
167000,Volkswagen,Diesel,Manual,8950,112,2014
182150,Volkswagen,Gasoline,Manual,8980,142,2014
68067,Peugeot,Gasoline,Manual,8985,127,2014
49252,Ford,Gasoline,Manual,8990,127,2014
124800,Opel,Gasoline,Automatic,8990,142,2014
91784,Ford,Gasoline,Manual,8990,102,2014
82500,Renault,Diesel,Manual,8990,91,2014
98000,Hyundai,Gasoline,Manual,8990,137,2014
34100,Kia,Gasoline,Automatic,8990,87,2014
120500,Honda,Other,Manual,8990,143,2014
27241,Renault,Diesel,Manual,8990,112,2014
90173,Ford,Gasoline,Manual,8990,102,2014
54210,Renault,Gasoline,Automatic,8990,122,2014
123559,Peugeot,Diesel,Automatic,8995,93,2014
81430,Citroen,Gasoline,Automatic,8999,83,2014
73000,Seat,Gasoline,Manual,9000,112,2014
56700,Chevrolet,Gasoline,Manual,9000,142,2014
68220,Skoda,Gasoline,Manual,8900,76,2015
62665,Opel,Gasoline,Automatic,8950,91,2015
172000,Volkswagen,Diesel,Manual,8990,122,2015
53000,Skoda,Gasoline,Manual,8990,87,2015
175488,Ford,Diesel,Manual,8990,122,2015
102690,Dacia,Gasoline,Manual,8990,127,2015
49249,Renault,Gasoline,Manual,8990,134,2015
30100,Kia,Gasoline,Manual,8990,87,2015
69120,Kia,Diesel,Manual,8990,91,2015
53000,Skoda,Other,Manual,8990,112,2015
285000,Skoda,Diesel,Automatic,9000,187,2015
98540,Fiat,Diesel,Manual,9200,130,2015
87200,Renault,Gasoline,Manual,9250,134,2015
20000,Smart,Gasoline,Automatic,9299,72,2015
57596,Nissan,Gasoline,Manual,9440,118,2015
51833,Ford,Diesel,Manual,9440,96,2015
43693,Peugeot,Gasoline,Manual,9450,112,2015
109750,Dacia,Gasoline,Manual,9450,106,2015
88900,Volkswagen,Gasoline,Manual,9450,87,2015
33000,Renault,Electric,Automatic,8495,59,2016
36300,Renault,Gasoline,Manual,8499,91,2016
36210,Renault,Gasoline,Manual,8499,74,2016
101850,Opel,Diesel,Manual,8690,96,2016
13832,Citroen,Gasoline,Manual,8690,83,2016
49950,Seat,Gasoline,Manual,8690,91,2016
98700,Opel,Diesel,Manual,8770,112,2016
190543,Mercedes-Benz,Diesel,Manual,8799,91,2016
80000,Seat,Diesel,Manual,8800,112,2016
109859,Ford,Gasoline,Manual,8840,127,2016
82000,Skoda,Gasoline,Manual,8850,112,2016
68300,Renault,Diesel,Manual,8850,112,2016
57644,Skoda,Gasoline,Manual,8850,91,2016
110412,Opel,Diesel,Manual,8880,96,2016
34955,Nissan,Gasoline,Manual,8880,81,2016
149889,Opel,Diesel,Automatic,8890,138,2016
138965,Volkswagen,Diesel,Manual,8890,112,2016
69934,Skoda,Diesel,Manual,8890,91,2016
113000,Volkswagen,Diesel,Manual,8900,112,2016
3070,Hyundai,Gasoline,Manual,7950,68,2017
60300,Peugeot,Gasoline,Manual,7950,83,2017
79883,Ford,Gasoline,Manual,7985,102,2017
36955,Nissan,Gasoline,Manual,7990,81,2017
24162,Hyundai,Gasoline,Manual,7990,68,2017
78588,Skoda,Gasoline,Manual,7990,61,2017
63200,Renault,Gasoline,Manual,7990,91,2017
68753,Nissan,Gasoline,Manual,7990,81,2017
29731,Toyota,Gasoline,Manual,7990,70,2017
29712,Renault,Gasoline,Manual,7990,70,2017
45401,Skoda,Gasoline,Manual,7990,76,2017
42341,Ford,Gasoline,Manual,7990,70,2017
68360,Toyota,Gasoline,Manual,7990,70,2017
